builtName             mentions  last_build                live_ok  live_bad  live_unk  partial_n
popmoot               1         2026-07-25T17:50:34.130Z  0        0         1         0        
portfolio             1         2026-07-24T21:44:57Z      0        0         1         0        
resetwatch            1         2026-07-26T02:40:07.023Z  1        0         0         0        
seismograph           1         2026-07-24T18:52:56Z      0        0         1         0        
short-circuit         1         2026-07-26T00:55:22.540Z  1        0         0         0        
simclash              1         2026-07-26T02:22:40.353Z  1        0         0         1        
simcluster            1         2026-07-24T17:23:25Z      0        0         1         0        
simclustered          2         2026-07-26T03:14:21.823Z  2        0         0         1        
skeetracker           1         2026-07-25T15:38:26.292Z  0        0         1         0        
skyhell               1         2026-07-25T19:38:57.181Z  1        0         0         0        
slop-shop             1         2026-07-25T22:26:44.107Z  1        0         0         0        
sokobisks             2         2026-07-24T23:56:48.532Z  0        0         2         0        
solitaire             3         2026-07-25T17:13:50.470Z  0        0         3         0        
spot-the-ai           2         2026-07-26T09:15:37.839Z  2        0         0         1        
stanquiz              2         2026-07-26T03:47:57.115Z  2        0         0         0        
tabernacle            1         2026-07-24T23:34:49.854Z  0        0         1         0        
thunderdome           2         2026-07-26T08:14:13.938Z  1        0         1         0        
toroidarium           2         2026-07-26T01:38:51.454Z  2        0         0         1        
treeoflife            1         2026-07-25T17:25:30.048Z  0        0         1         0        
trigramonopoly        1         2026-07-24T13:40:54Z      0        0         1         0        
trigrams              4         2026-07-24T17:02:58Z      0        0         4         0        
trigrams/market       1         2026-07-24T16:44:59Z      0        0         1         0        
trigrams/tagged       1         2026-07-25T20:26:04.110Z  1        0         0         0        
trigrams/waluigi      1         2026-07-24T19:58:57Z      0        0         1         0        
trigruessr            1         2026-07-24T06:36:54Z      0        0         1         0        
verbs                 1         2026-07-25T04:26:02.965Z  0        0         1         0        
verdict               1         2026-07-25T16:59:46.019Z  0        0         1         0        
viable                1         2026-07-24T21:28:58Z      0        0         1         0        
war                   3         2026-07-26T13:50:07.929Z  3        0         0         1        
